序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
1,LI0000002,9c791d03c5414b875c1d93564b6a67ac985194f76e324bce432da2537a3f9d0d,Yes,入院记录,东肝,健康问题与诊断,感染类型,INF_TYPE,指患者是否有特定类型的感染疾病（如细菌、病毒、寄生虫等）。,Infection Type,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000373.01.01,东肝,寄生虫感染,,SI1114797,,,,,枚举,,,,,,0=无;1=华支睾吸虫有;2=肝吸虫;3=蛔虫,否,,,,
4,LI0000003,9d36c3b1cc55a22492acc3e6b219e52e8c69e867539f2a11a4cc2e7bd215ff7e,Yes,入院记录,东肝,健康问题与诊断,感染时间,INF_TIME,感染发生的具体时间或时间段。,Infection Time,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000374.01.01,东肝,寄生虫感染发生于哪一年,,SI1114798,,,,,文本,20,,,,,,,,,,
7,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000366.01.01,东肝,肝炎史发生于哪一年,,SI1114790,,,,,文本,20,,,,,,,,,,
10,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000368.01.01,东肝,化脓性胆管炎第一次发作时间,,SI1114792,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
17,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000376.01.01,东肝,糖尿病史发生于,,SI1114800,,,,,文本,20,,,,,,,,,,
20,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000364.01.01,东肝,肝硬化史发生于哪一年,,SI1114788,,,,,文本,20,,,,,,,,,,
27,LI0000006,c46e0a37c2463a73dd7bf7deb31e8744963fc00b0a48ea1bde30c9b9346cd89f,Yes,入院记录,东肝,健康问题与诊断,发病次数,FREQ_OCCUR,指某一症状或事件发生的频率。,Frequency of Occurrence,发生次数,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000367.01.01,东肝,化脓性胆管炎发作次数,,SI1114791,,,,,整数,,3,,,,,,,,,
30,LI0000007,40cc181defde41eb6af27b8c40e2adc1c52040d3f0f0608479a6a63cebb9fea6,Yes,入院记录,东肝,健康问题与诊断,治疗持续时间,TREAT_DURATION,从开始到结束接受某种治疗的时间长度。,Duration of Treatment,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000377.01.01,东肝,糖尿病史治疗持续时间,,SI1114801,,,,,小数,,2,,,,,,,,,
34,LI0000008,bb76c08b7b0135d59b1a870971681e5cfbd9ea9937c9decb473bcc55fbfb1a8f,Yes,入院记录,东肝,健康问题与诊断,疾病阶段,DIS_STAGE,根据国际标准（如TNM分期）确定的疾病发展阶段。,Disease Stage,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000390.01.01,东肝,肝硬化史程度,,SI1114814,,,,,枚举,,,,,,1=轻;2=中;3=重,否,,,,
37,LI0000009,57bca078e6737709a187b43fc14206a0cbd9d668943ead5e3e905d6363066e5a,Yes,"家族史,入院记录","东肝,胸科",健康问题与诊断,家族疾病史,FMH,直系亲属中是否有类似或其他重大疾病的记录。,Family Medical History,家族疾病名称,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000379.01.01,东肝,肝硬化家族史,,SI1114803,,,,,枚举,,,,,,0=无;1=有,否,,,,
