序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,标签类型,所属实体标签（仅属性标签填写）,属性列表,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,项目名称
2,LI0000002,9c791d03c5414b875c1d93564b6a67ac985194f76e324bce432da2537a3f9d0d,Yes,入院记录,东肝,健康问题与诊断,感染类型,INF_TYPE,实体标签,,感染时间:INF_TIME,指患者是否有特定类型的感染疾病（如细菌、病毒、寄生虫等）。,Infection Type,,,,,【脱敏更新】东肝实践-肝癌-入院记录
4,LI0000003,9d36c3b1cc55a22492acc3e6b219e52e8c69e867539f2a11a4cc2e7bd215ff7e,Yes,入院记录,东肝,健康问题与诊断,感染时间,INF_TIME,属性标签,感染类型,,感染发生的具体时间或时间段。,Infection Time,,,,,【脱敏更新】东肝实践-肝癌-入院记录
7,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,属性标签,疾病名称,,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,【脱敏更新】东肝实践-肝癌-入院记录
13,LI0000006,c46e0a37c2463a73dd7bf7deb31e8744963fc00b0a48ea1bde30c9b9346cd89f,Yes,入院记录,东肝,健康问题与诊断,发病次数,FREQ_OCCUR,属性标签,疾病名称,,指某一症状或事件发生的频率。,Frequency of Occurrence,发生次数,,,,【脱敏更新】东肝实践-肝癌-入院记录
14,LI0000007,40cc181defde41eb6af27b8c40e2adc1c52040d3f0f0608479a6a63cebb9fea6,Yes,入院记录,东肝,健康问题与诊断,治疗持续时间,TREAT_DURATION,属性标签,疾病名称,,从开始到结束接受某种治疗的时间长度。,Duration of Treatment,,,,,【脱敏更新】东肝实践-肝癌-入院记录
16,LI0000008,bb76c08b7b0135d59b1a870971681e5cfbd9ea9937c9decb473bcc55fbfb1a8f,Yes,入院记录,东肝,健康问题与诊断,疾病阶段,DIS_STAGE,属性标签,疾病名称,,根据国际标准（如TNM分期）确定的疾病发展阶段。,Disease Stage,,,,,【脱敏更新】东肝实践-肝癌-入院记录
18,LI0000009,57bca078e6737709a187b43fc14206a0cbd9d668943ead5e3e905d6363066e5a,Yes,"家族史,入院记录","东肝,胸科",健康问题与诊断,家族疾病史,FMH,实体标签,,,直系亲属中是否有类似或其他重大疾病的记录。,Family Medical History,家族疾病名称,,,,【脱敏更新】东肝实践-肝癌-入院记录
29,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,属性标签,病理学分型,,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】东肝实践-肝癌-病理诊断
31,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,属性标签,辅助检查类型,,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【脱敏更新】东肝实践-肝癌-入院记录
32,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,属性标签,主要病变,,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】东肝实践-肝癌-病理诊断
