序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
43,LI0000009,57bca078e6737709a187b43fc14206a0cbd9d668943ead5e3e905d6363066e5a,Yes,"家族史,入院记录","东肝,胸科",健康问题与诊断,家族疾病史,FMH,直系亲属中是否有类似或其他重大疾病的记录。,Family Medical History,家族疾病名称,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.05.0000033.01.01,卫健委;九院,肿瘤家族史标志,标识个体家族成员中是否有肿瘤患者,SI1109986,,,,,布尔,,,,,,,,,,,
64,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000023.01.01,九院,解剖学部位,,SI1112433,,,,,文本,100,,,,,,,,,,
174,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000021.01.01,九院,口腔病灶大小,,SI1112431,,,,,枚举,,,,,,1=左侧;2=右侧;3=双侧;4=不详,否,,,,
183,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.18.00.0000176.01.01,UDE,组织学分级,,SI1120121,,,,,整数,,2,,,,,,,,,
201,LI0000022,c08715c6f197d183075d4ecf81a0bca0534838e2fa9d42d294a543cdb9c4ca2c,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,病变方位,LESION_ORIENT,描述病灶在特定部位的具体方位，如左/右/双侧等。,Lesion Orientation,"病灶方位, 解剖学方位",九院-头颈肿瘤-鳞癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000022.01.01,九院,解剖学方位,,SI1112432,,,,,枚举,,,,,,1=≤2;2=≤4（＞2）;3=≤4（＞2）,否,,,,
220,LI0000027,eefbd17b9d871e4ae42f224953402fe60c6aea485acfee95b6b0de2dc2019799,Yes,现病史,九院,治疗与操作,化疗标志,CHEMO_HIST,患者是否曾接受过化疗（是/否）,History of Prior Chemotherapy,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001967.01.01,九院,是否化疗,,SI1113316,,,,,枚举,,,,,,0=否;1=是,否,,,,
221,LI0000028,68794ac2998fd8773511b0fd0cb37e09414f3805f496132f709a2c6a7ddfd1a9,Yes,现病史,九院,治疗与操作,化疗时间,CHEMO_DATE,化疗开始或结束的具体日期,Date of Prior Chemotherapy,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001809.01.01,,化疗时间,,SI1111332,,,,,文本,100,,,,,,,,,,
222,LI0000029,2eec0bd1df372708e77cad099abde7bcfd7e06418ca9543451633ff0c0d186d6,Yes,现病史,九院,治疗与操作,化疗次数,CHEMO_CYCLE_COUNT,患者接受化疗的周期总数,Number of Prior Chemotherapy Cycles,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001770.01.01,,化疗次数,患者化疗为第几次化疗次数,SI1111290,,,,,整数,,2,,,,,,,,,
223,LI0000030,3c9fc3e337a714abb2050e7b9ba13c8944c80112cf5a30233b206bc3cdbd6245,Yes,现病史,九院,治疗与操作,化疗方案,CHEMO_REGIMEN,所接受的具体化疗方案名称，如“FOLFOX”、“TP”等,Prior Chemotherapy Regimen,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0000654.01.01,中山七院,化疗方案,,SI1104253,,,,,枚举,,,,,,无;5-FU;铂类;丝裂霉素;中人氟安,是,,,,
232,LI0000031,254164f78f58662cf63aedf9e243d66c4328906306d3f03203aadbeb4fab88d5,Yes,现病史,"九院,胸科",治疗与操作,放疗标志,RT_HIST,患者是否曾接受过放疗（是/否）,History of Prior Radiotherapy,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001741.01.01,,是否放疗,标识患者是否进行放射治疗,SI1111260,,,,,枚举,,,,,,1=是;2=否;3=不详,否,,,,
243,LI0000032,cb810ad93b4ec8af2b19c677665e114a387d2ca4c15827880f42b3e296e50190,Yes,现病史,"九院,胸科",治疗与操作,放疗时间,RT_DATE,放疗开始或结束的具体日期,Date of Prior Radiotherapy,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001810.01.01,,放疗时间,,SI1111333,,,,,文本,100,,,,,,,,,,
249,LI0000034,80b246e5e7956926ad6d535b55509e471ee349176ec21e3d7e5f91c10935b2f2,Yes,现病史,"九院,胸科",治疗与操作,放疗剂量,RT_MODALITY,放疗的具体方式，如“三维适形放疗”、“调强放疗（IMRT）”等,Prior Radiotherapy Modality,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001263.01.01,中山七院,放疗方式,,SI1107787,,,,,枚举,,,,,,1.根治性;2.姑息性;3.辅助性,否,,,,
327,LI0000046,0bad1a820ef7ee7fd67336dbfaf9e577de42c9e9aa857566f8bf64ed58308d5e,Yes,"入院记录,个人史","东肝,九院",分段,吸烟史,SMK_HIST,过去和现在的吸烟习惯总览。,Smoking History,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.03.0000018.01.01,卫健委,吸烟标志,标识个体是否吸烟,SI1105628,,,,,枚举,,,,,,不吸烟;偶尔吸烟;习惯吸烟，<1包/天;习惯吸烟，≥1包/天,否,,,,
329,LI0000047,49224617c75f2d5f4391e1004c72fbce9dfbd709f37674b865319e3d100f05a0,Yes,"入院记录,现病史","东肝,九院",分段,手术史,SURG_HIST,以前是否进行过任何手术及其相关信息。,Surgical History,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.10.0000005.01.01,九院,既往手术史,,SI1105442,,,,,文本,100,,,,,,,,,,
338,LI0000049,13071461d448f8643f2dba9cbd49c0d87e3ef6164ac7374222c50116aa6b63e0,Yes,个人史,九院,分段,饮酒史,ALC_HIS,患者饮酒情况的记录描述，包括饮酒时长、戒酒情况等,History of drinking,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000008.02.01,九院,饮酒标志,,SI1104039,,,,,枚举,,,,,,是;否,否,,,,
401,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.08.00.0004068.01.01,九院;东肝,甲胎蛋白定性,,SI1113037,,,,,枚举,,,,,,0=阴性;1=阳性;9=未做,否,,,,
407,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.08.00.0003088.01.01,中山七院,CA19-9,,SI1109921,,,,,小数,,6,2,ug/L,,,,,,,
481,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000003.01.01,九院,P16免疫组化指标,,SI1112413,,,,,枚举,,,,,,1=原发;2=复发;3=二原发（不同解剖部位或不同病理诊断，同一部位需要5年以上）,否,,,,
513,LI0000055,7c8befebee7f2f648f01c97735b1f8cf670bb431eac8ede762499a45153bf6b1,Yes,"婚育史,既往史","九院,胸科",个人基本信息,婚姻状况,MAR_STAT,记录患者的婚姻状况。此标签用于描述患者当前的婚姻状态。,Marital Status,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.02.02.0000368.01.01,UDE,婚姻状况,,SI1118555,,,,,枚举,,,,,,1=未婚;2=已婚;3=丧偶;4=离婚;5=再婚;6=其他;9=未说明的婚姻状况,否,,,,
531,LI0000057,e2ef23df9a6dd04236bf381e7c65571548df2aef2cae2847dd6625f8b61b00d9,Yes,婚育史,"九院,胸科",个人基本信息,生育状况,FERT_STAT,记录患者是否有生育史。此标签用于描述患者是否曾经生育过子女。,Fertility Status,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.06.0000066.01.01,中山七院;九院,生育状况,标识育龄妇女是否曾经有过分娩史的标志,SI1106819,,,,,枚举,,,,,,未育;已育,否,,,,
558,LI0000067,4a6b66464711eeeaef358fb0d14469b380163a1184a61b39cc27917b11330279,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒量,ALCOHOL_QUANTITY,个人平均每周或每月饮酒的数量，可以按照标准饮品单位来衡量。,Alcohol Consumption Level,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000058.01.01,UDE,饮酒量,,SI1119011,,,,,整数,,5,,,,,,,,,
569,LI0000070,20c7976b6f2dc95c3280bf3508ec12b773f41259fa6c9d1bbaa040028e6720a1,Yes,个人史,九院,个人基本信息,槟榔史,Betel_Quid,患者嚼槟榔情况的记录描述，包括嚼槟榔时长、戒槟榔情况等,Betel Quid,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.99.0000022.01.01,九院,嚼槟榔标志,,SI1112410,,,,,枚举,,,,,,0=阴性（-）;1=阳性（+）;9=不详,否,,,,
575,LI0000071,f34485a74a73dad236274f48bfc69bc0460225bcd24258b5ea32969bbef794d8,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒标志,ALC_STAT,描述个人是否饮酒的状态。,Alcohol Status,"饮酒情况, 饮酒史",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000016.01.01,九院;东肝,饮酒史,患者个人史中关于饮酒戒酒情况的详细描述,SI1111457,,,,,文本,5000,,,,,,,,,,
580,LI0000071,f34485a74a73dad236274f48bfc69bc0460225bcd24258b5ea32969bbef794d8,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒标志,ALC_STAT,描述个人是否饮酒的状态。,Alcohol Status,"饮酒情况, 饮酒史",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000008.02.01,九院,饮酒标志,,SI1104039,,,,,枚举,,,,,,是;否,否,,,,
592,LI0000074,0c68633db6e10248756c6edb0df0e2dbf47319573f3fcc849eb0f800e7545a36,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,吸烟标志,SSMK_STAT,描述个人是否吸烟的状态，如从不吸烟者、现在吸烟者、曾经吸烟者等。,Smoking Status,吸烟情况,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.03.0000023.01.01,九院;东肝,吸烟史,患者个人史中关于吸烟戒烟情况的详细描述,SI1111458,,,,,文本,5000,,,,,,,,,,
597,LI0000077,e79712fd7b98651a45376163a058a009676827f2b4cb015364fe0f861c47581c,Yes,"病理,病理诊断,诊断,病理检查","东肝,九院,胸科",健康问题与诊断,切缘情况,MARGIN_STATUS,描述手术切除边缘的状态，包括是否含有癌细胞。,Margin Status,"切缘,切缘描述",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000012.01.01,九院,术后病理切缘,,SI1112422,,,,,枚举,,,,,,1=≤3;2=≤6（＞3）;3=＞6,否,,,,
