序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,标签类型,所属实体标签（仅属性标签填写）,属性列表,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,项目名称
20,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,实体标签,,病变方位:LESION_ORIENT;病变大小:LESION_SIZE;DOI:DOI,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】九院实践-口腔癌-病理检查
21,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,实体标签,,病变方位:LESION_ORIENT;病变大小:LESION_SIZE;侵犯部位/类型:INV_SITES,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】九院实践-口腔癌-影像检查
22,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,实体标签,,病变方位:LESION_ORIENT;病变大小:LESION_SIZE;侵犯部位/类型:INV_SITES,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】九院实践-口腔癌-专科检查
34,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,属性标签,主要病变,,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,【更新】九院实践-口腔癌-手术记录
56,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,病变部位,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】九院实践-口腔癌-病理检查
57,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,病变部位,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】九院实践-口腔癌-影像检查
58,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,病变部位,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】九院实践-口腔癌-专科检查
62,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,主要病变,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】九院实践-口腔癌-手术记录
64,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,实体标签,,,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,【更新】九院实践-口腔癌-病理检查
76,LI0000022,c08715c6f197d183075d4ecf81a0bca0534838e2fa9d42d294a543cdb9c4ca2c,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,病变方位,LESION_ORIENT,属性标签,病变部位,,描述病灶在特定部位的具体方位，如左/右/双侧等。,Lesion Orientation,"病灶方位, 解剖学方位",九院-头颈肿瘤-鳞癌,,,【更新】九院实践-口腔癌-病理检查
77,LI0000022,c08715c6f197d183075d4ecf81a0bca0534838e2fa9d42d294a543cdb9c4ca2c,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,病变方位,LESION_ORIENT,属性标签,病变部位,,描述病灶在特定部位的具体方位，如左/右/双侧等。,Lesion Orientation,"病灶方位, 解剖学方位",九院-头颈肿瘤-鳞癌,,,【更新】九院实践-口腔癌-影像检查
78,LI0000022,c08715c6f197d183075d4ecf81a0bca0534838e2fa9d42d294a543cdb9c4ca2c,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,病变方位,LESION_ORIENT,属性标签,病变部位,,描述病灶在特定部位的具体方位，如左/右/双侧等。,Lesion Orientation,"病灶方位, 解剖学方位",九院-头颈肿瘤-鳞癌,,,【更新】九院实践-口腔癌-专科检查
87,LI0000027,eefbd17b9d871e4ae42f224953402fe60c6aea485acfee95b6b0de2dc2019799,Yes,现病史,九院,治疗与操作,化疗标志,CHEMO_HIST,实体标签,,化疗时间:CHEMO_DATE;化疗次数:CHEMO_CYCLE_COUNT;化疗方案:CHEMO_REGIMEN,患者是否曾接受过化疗（是/否）,History of Prior Chemotherapy,,,,,【更新】九院实践-口腔癌-现病史
88,LI0000028,68794ac2998fd8773511b0fd0cb37e09414f3805f496132f709a2c6a7ddfd1a9,Yes,现病史,九院,治疗与操作,化疗时间,CHEMO_DATE,属性标签,化疗标志,,化疗开始或结束的具体日期,Date of Prior Chemotherapy,,,,,【更新】九院实践-口腔癌-现病史
89,LI0000029,2eec0bd1df372708e77cad099abde7bcfd7e06418ca9543451633ff0c0d186d6,Yes,现病史,九院,治疗与操作,化疗次数,CHEMO_CYCLE_COUNT,属性标签,化疗标志,,患者接受化疗的周期总数,Number of Prior Chemotherapy Cycles,,,,,【更新】九院实践-口腔癌-现病史
90,LI0000030,3c9fc3e337a714abb2050e7b9ba13c8944c80112cf5a30233b206bc3cdbd6245,Yes,现病史,九院,治疗与操作,化疗方案,CHEMO_REGIMEN,属性标签,化疗标志,,所接受的具体化疗方案名称，如“FOLFOX”、“TP”等,Prior Chemotherapy Regimen,,,,,【更新】九院实践-口腔癌-现病史
92,LI0000031,254164f78f58662cf63aedf9e243d66c4328906306d3f03203aadbeb4fab88d5,Yes,现病史,"九院,胸科",治疗与操作,放疗标志,RT_HIST,实体标签,,放疗时间:RT_DATE;放疗次数:RT_SESSION_COUNT;放疗剂量:RT_MODALITY,患者是否曾接受过放疗（是/否）,History of Prior Radiotherapy,,,,,【更新】九院实践-口腔癌-现病史
95,LI0000032,cb810ad93b4ec8af2b19c677665e114a387d2ca4c15827880f42b3e296e50190,Yes,现病史,"九院,胸科",治疗与操作,放疗时间,RT_DATE,属性标签,放疗标志,,放疗开始或结束的具体日期,Date of Prior Radiotherapy,,,,,【更新】九院实践-口腔癌-现病史
97,LI0000033,7c7f410d1f03a0e2b3ea95862bb8aaa79ba6c84c9c3509cd168cb345c423b149,Yes,现病史,九院,治疗与操作,放疗次数,RT_SESSION_COUNT,属性标签,放疗标志,,放疗总次数或疗程数,Number of Prior Radiotherapy Sessions,,,,,【更新】九院实践-口腔癌-现病史
99,LI0000034,80b246e5e7956926ad6d535b55509e471ee349176ec21e3d7e5f91c10935b2f2,Yes,现病史,"九院,胸科",治疗与操作,放疗剂量,RT_MODALITY,属性标签,放疗标志,,放疗的具体方式，如“三维适形放疗”、“调强放疗（IMRT）”等,Prior Radiotherapy Modality,,,,,【更新】九院实践-口腔癌-现病史
116,LI0000046,0bad1a820ef7ee7fd67336dbfaf9e577de42c9e9aa857566f8bf64ed58308d5e,Yes,"入院记录,个人史","东肝,九院",分段,吸烟史,SMK_HIST,实体标签,,,过去和现在的吸烟习惯总览。,Smoking History,,,,,九院实践-口腔癌-个人史
118,LI0000047,49224617c75f2d5f4391e1004c72fbce9dfbd709f37674b865319e3d100f05a0,Yes,"入院记录,现病史","东肝,九院",分段,手术史,SURG_HIST,实体标签,,手术日期:SURG_DURATION,以前是否进行过任何手术及其相关信息。,Surgical History,,,,,【更新】九院实践-口腔癌-现病史
121,LI0000049,13071461d448f8643f2dba9cbd49c0d87e3ef6164ac7374222c50116aa6b63e0,Yes,个人史,九院,分段,饮酒史,ALC_HIS,实体标签,,,患者饮酒情况的记录描述，包括饮酒时长、戒酒情况等,History of drinking,,,,,九院实践-口腔癌-个人史
124,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,实体标签,,,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,【更新】九院实践-口腔癌-病理检查
137,LI0000055,7c8befebee7f2f648f01c97735b1f8cf670bb431eac8ede762499a45153bf6b1,Yes,"婚育史,既往史","九院,胸科",个人基本信息,婚姻状况,MAR_STAT,实体标签,,,记录患者的婚姻状况。此标签用于描述患者当前的婚姻状态。,Marital Status,,,,,九院实践-口腔癌-婚育史
140,LI0000057,e2ef23df9a6dd04236bf381e7c65571548df2aef2cae2847dd6625f8b61b00d9,Yes,婚育史,"九院,胸科",个人基本信息,生育状况,FERT_STAT,实体标签,,,记录患者是否有生育史。此标签用于描述患者是否曾经生育过子女。,Fertility Status,,,,,九院实践-口腔癌-婚育史
178,LI0000070,20c7976b6f2dc95c3280bf3508ec12b773f41259fa6c9d1bbaa040028e6720a1,Yes,个人史,九院,个人基本信息,槟榔史,Betel_Quid,实体标签,,,患者嚼槟榔情况的记录描述，包括嚼槟榔时长、戒槟榔情况等,Betel Quid,,,,,九院实践-口腔癌-个人史
193,LI0000077,e79712fd7b98651a45376163a058a009676827f2b4cb015364fe0f861c47581c,Yes,"病理,病理诊断,诊断,病理检查","东肝,九院,胸科",健康问题与诊断,切缘情况,MARGIN_STATUS,实体标签,,,描述手术切除边缘的状态，包括是否含有癌细胞。,Margin Status,"切缘,切缘描述",,,,【更新】九院实践-口腔癌-病理检查
194,LI0000079,ece0a61d7bf2db8dafdb40983dc18677582d57d5659610da28270d23b8631030,Yes,病理检查,九院,健康问题与诊断,神经侵犯,NERVE_INVASION,实体标签,,,描述肿瘤是否侵犯神经组织，如侵犯面神经、舌神经等。,Nerve Invasion,,,,,【更新】九院实践-口腔癌-病理检查
195,LI0000080,db64b98d170d2fded82a074e3505e4c3bdcdb101bddb9fd690b98ad9903a898a,Yes,"手术记录,检查,病理检查",九院,健康问题与诊断,脉管侵犯,VASCULAR_INVASION,实体标签,,,描述肿瘤是否侵犯血管或淋巴系统，如侵犯血管壁、淋巴管壁。,Vascular Invasion,,九院-头颈肿瘤-鳞癌,,,【更新】九院实践-口腔癌-病理检查
196,LI0000081,76cda62a50e8b4efed3d58d7fe6ea7ccb12e4caba68fcc1468ff8e8fb513db10,Yes,病理检查,九院,健康问题与诊断,DOI,DOI,属性标签,病变部位,,记录肿瘤浸润深度，通常以毫米为单位，反映肿瘤侵入组织的深度。,Depth of Invasion,,,,,【更新】九院实践-口腔癌-病理检查
209,LI0000098,3017c5660a2fd383f0134dfc64d49fdbdf68af0223eb1fbb67d2f6343e5ba757,Yes,"入院记录,现病史","东肝,九院",健康问题与诊断,复发,RECURRENCE,实体标签,,,是否经历了癌症复发的情况。,Recurrence,"肿瘤病灶性质, 肝癌复发",,,,【更新】九院实践-口腔癌-现病史
213,LI0000103,381ef09ef8cae52562ef9993db4932e74a675ca3aa68a4392aca99d055ba227f,Yes,"影像检查,入院记录","东肝,九院",检查与检测,辅助检查类型,ANC_EXAM_TYPE,实体标签,,,为确诊或评估病情所做的各种医学检查的类型。,Ancillary Examination Type,影像检查类型,,,,【更新】九院实践-口腔癌-影像检查
249,LI0000121,80dada8747fa596d301309e56510a84dc9e993be12b48f8ac504e8a05e44c29c,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结描述,LN_POS_DESC,属性标签,淋巴结转移部位,,描述阳性淋巴结的具体特征，如中央液化、环形强化、不均匀强化、边缘不规则强化等。,Description of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-影像检查
250,LI0000121,80dada8747fa596d301309e56510a84dc9e993be12b48f8ac504e8a05e44c29c,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结描述,LN_POS_DESC,属性标签,淋巴结转移部位,,描述阳性淋巴结的具体特征，如中央液化、环形强化、不均匀强化、边缘不规则强化等。,Description of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-专科检查
251,LI0000122,07d03ba3054ef5f732413cf871ced2f962b32ebb634ff222dc4d2c8738a0bbbf,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结方位,LN_POS_LOC,属性标签,淋巴结转移部位,,描述阳性淋巴结的具体方位，如左/右等。,Location of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-影像检查
252,LI0000122,07d03ba3054ef5f732413cf871ced2f962b32ebb634ff222dc4d2c8738a0bbbf,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结方位,LN_POS_LOC,属性标签,淋巴结转移部位,,描述阳性淋巴结的具体方位，如左/右等。,Location of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-专科检查
253,LI0000123,4f0374e0739efb4d1f27a09a2ba399f90490b9f91fbc01d2ba7f44d317c939ac,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结大小,LN_POS_SIZE,属性标签,淋巴结转移部位,,记录阳性淋巴结的最大直径或体积，通常以毫米为单位。,Size of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-影像检查
254,LI0000123,4f0374e0739efb4d1f27a09a2ba399f90490b9f91fbc01d2ba7f44d317c939ac,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结大小,LN_POS_SIZE,属性标签,淋巴结转移部位,,记录阳性淋巴结的最大直径或体积，通常以毫米为单位。,Size of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-专科检查
255,LI0000125,1ef1cb46732a8e38636aeda0b927b05d0a85b0516e02cc3d8dbfa95b524bb2a8,Yes,病理检查,九院,解剖与病理信息,淋巴结清扫方位,LN_DISSEC_LOC,属性标签,淋巴结清扫范围,,描述淋巴结清扫的具体方位，如左/右等。,Site of Lymph Node Dissection,,,,,【更新】九院实践-口腔癌-病理检查
256,LI0000126,fe64219278da0c082560acea76cf43de85bcbda819daa70a692e0ac0c9bbe1d7,Yes,病理检查,九院,解剖与病理信息,淋巴结数量,LN_REMOVED_COUNT,属性标签,淋巴结清扫范围,,记录样本中淋巴结总数。,Total Number of Lymph Nodes Removed,,,,,【更新】九院实践-口腔癌-病理检查
257,LI0000127,65d939191243cba9e6d95c3feb229234fd9b3538e3d05a295c27c649b693defe,Yes,病理检查,九院,解剖与病理信息,颈清直径,NECK_DIAMETER,属性标签,淋巴结清扫范围,,记录清扫淋巴结的最大直径，通常以厘米为单位。,Diameter of Neck Dissection (if used),,,,,【更新】九院实践-口腔癌-病理检查
259,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,属性标签,淋巴结清扫范围,,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,【更新】九院实践-口腔癌-病理检查
260,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,属性标签,淋巴结转移部位,,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,【更新】九院实践-口腔癌-影像检查
261,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,属性标签,淋巴结转移部位,,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,【更新】九院实践-口腔癌-专科检查
264,LI0000130,ceb1c9945b5de4014e4b08b2de08f872c01b958366287da0586e30e7102f08cd,Yes,"影像检查,专科检查,检查","东肝,九院",解剖与病理信息,淋巴结转移部位,LN_METASTASIS_SITE,实体标签,,阳性淋巴结描述:LN_POS_DESC;阳性淋巴结方位:LN_POS_LOC;阳性淋巴结个数:LN_POS_COUNT;阳性淋巴结大小:LN_POS_SIZE;淋巴结侵犯标志:LN_INVOLVEMENT_IND;淋巴结侵犯部位:LN_INVOLVED_SITE;淋巴结侵犯数目:NO_POSI_LN,描述淋巴结转移的具体部位。,Site of Lymph Node Metastasis,阳性淋巴结区域,,,,【更新】九院实践-口腔癌-影像检查
265,LI0000130,ceb1c9945b5de4014e4b08b2de08f872c01b958366287da0586e30e7102f08cd,Yes,"影像检查,专科检查,检查","东肝,九院",解剖与病理信息,淋巴结转移部位,LN_METASTASIS_SITE,实体标签,,阳性淋巴结描述:LN_POS_DESC;阳性淋巴结方位:LN_POS_LOC;阳性淋巴结个数:LN_POS_COUNT;阳性淋巴结大小:LN_POS_SIZE;淋巴结侵犯标志:LN_INVOLVEMENT_IND;淋巴结侵犯部位:LN_INVOLVED_SITE;淋巴结侵犯数目:NO_POSI_LN,描述淋巴结转移的具体部位。,Site of Lymph Node Metastasis,阳性淋巴结区域,,,,【更新】九院实践-口腔癌-专科检查
