序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
13,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,JBSFCX,上海胸科,疾病持续,,SI0100022,,,,,枚举,,,,,,1=是;0=否,否,,,,
15,LI0000004,2268faa5f46f75096ea3bd7581796126314bafcc615aec1a2f9d12d70c6412b8,Yes,"入院记录,现病史,既往史","东肝,胸科",健康问题与诊断,发病时间,ONSET_TIME,指某一事件或症状首次出现的时间。,Onset Time,发生时间,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,JBKSRQ,上海胸科,疾病开始日期,,SI0100021,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
23,LI0000005,343dcaa4f419ddf39d54e741116fa3e84dc66db9cebe4ff346bdb65147c80fbd,Yes,"现病史,既往史",胸科,健康问题与诊断,患病时长,ILL_DURATION,从患者首次出现症状或被诊断出患有某种疾病开始，到当前时间点或者某个特定的时间点为止的时间跨度,Duration of Illness,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,JBSFCX,上海胸科,疾病持续,,SI0100022,,,,,枚举,,,,,,1=是;0=否,否,,,,
25,LI0000005,343dcaa4f419ddf39d54e741116fa3e84dc66db9cebe4ff346bdb65147c80fbd,Yes,"现病史,既往史",胸科,健康问题与诊断,患病时长,ILL_DURATION,从患者首次出现症状或被诊断出患有某种疾病开始，到当前时间点或者某个特定的时间点为止的时间跨度,Duration of Illness,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,JBJSRQ,上海胸科,疾病结束日期,,SI0100023,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
62,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,ZLZZBW_PDL1,上海胸科,肿瘤组织部位_PD-L1,,SI0100046,,,,,文本,100,,,,,,,,,,
69,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_BBZ,上海胸科,靶病灶部位,,SI0100063,,,,,枚举,,,,,,1=左肺上叶;2=左肺下叶;3=右肺上叶;4=右肺中叶;5=右肺下叶;6=纵隔淋巴结;7=肺门淋巴结,否,,,,
71,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_QT_FBBZ,上海胸科,非靶病灶部位（其它）,,SI0100078,,,,,文本,100,,,,,,,,,,
73,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,FFZYBW,上海胸科,复发转移部位,,SI0100113,,,,,文本,100,,,,,,,,,,
75,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_FF,上海胸科,复发病灶部位,,SI0100512,,,,,枚举,,,,,,1=左肺上叶;2=左肺下叶;3=右肺上叶;4=右肺中叶;5=右肺下叶;6=纵隔淋巴结;7=肺门淋巴结,否,,,,
76,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,ZLZZBW_WT,上海胸科,肿瘤组织部位_WES/TMB,,SI0100050,,,,,文本,100,,,,,,,,,,
